abrir_archivos,,
agregar_separador,Autor: Francisco Pereira,Ayuda:    Pre--> Ingresa un texto cualquiera    Post --> Busca el primer cambio de linea    y le agrega al texto una linea de esa longitud     con _
analizar_codigo,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa el codigo de una funcion junto con su nombre    Post --> Actualiza la cantidad de llamadas que hace esa funcion a otras    funciones
armar_diccionario,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa la lista con el nombre de todas las funciones    Post --> Devuelve un diccionario con formato:                                            '<numero_funcion> - <Nombre_funcion>': <lista_ceros>             Donde lista_ceros es tan larga como funciones haya y tiene todos ceros
armar_lista,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa el archivo fuente_unico.csv    Post --> Todas las funciones son puestas en una lista
cerrar_archivos,,
contar_llamadas,Autor: Francisco Pereira,Ayuda: cuenta la cantidad de veces que cada funcion fue llamada por otras    y lo guarda en una lista/ con la cantidad por funcion
devolver_clave_minima,,
devolver_parametros,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa una linea de codigo donde se define una funcion    Post --> Devuelve los parametros formales separados por /
escribir_archivo,Autor: Francisco Pereira,Ayuda:    Genera el archivo analizador.txt e imprime la tabla en el mismo
escribir_funcion,Autor: Francisco Pereira,Ayuda:    Ingresa la funcion y datos sobre el formato y llamadas de la misma    Devuelve un string que representa a la "fila" de la funcion en     la impresion final,Para las filas donde no haya que escribir numeros,a forma 1-main,Por si quedo texto de la funcion por escribir,Texto_vacio es una variable para evitar la tupla/ no es de ninguna utilidad
fin_funcion,Autor: Francisco Pereira,Ayuda: Devuelve verdadero si se llego al final de una funcion    o al final de la declaracion de funciones
funciones_que_llaman,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa el dicc con las funciones y los puntajes    Post --> Devuelve el dicc con x en donde una funcion es llamada por otra
generar_analizador,Autor: Francisco Pereira,Ayuda:    En base a fuente_unico.csv genera el archivo    analizador.txt y lo muestra en pantalla
generar_dicc_ceros,Autor: Francisco Pereira,Ayuda:    pre ---> Ingresa una cantidad numerica entera    Post ---> Devuelve una lista que tiene la cantidad de ceros que    se paso como parametro
generar_fila_numerica,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresan la cantidad de espacios entre columna y columna    y una lista que contiene los valores(numericos) a escribir en cada columna    Post --> genera la fila/ con separador | entre columnas    
generar_fila_total,Autor: Francisco Pereira,Ayuda:    pre --> Ingresa el texto que va en la primera columna/ los numeros de la fila    y la cantidad de espacios por columna    Post --> Devuelve texto/ si es que resta algo y la fila en string    
generar_primera_fila,
generar_puntajes,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresan el archivo/ la lista con los nombres de las funciones    y el diccionario ya armado    Post --> Devuelve los puntajes de cada una de las funciones segun la     tabla del enunciado del tp
generar_texto_encolumnado,Autor: Francisco Pereira,Ayuda:    Pre --> Ingresa el ancho de la columna y el texto    Post --> Devuelve una fila de texto y el resto del texto    si es que no entra completamente en la columna    
generar_ultima_fila,Autor: Francisco Pereira,Ayuda: genera el string de la ultima fila    del archivo analizador.txt
identificar_alfabeticamente,Autor: Francisco Pereira,
identificar_comentarios,Autor: Claudio Gimenez,Ayuda: Identifica si hay comentarios en la linea que recibe/          como parametro/ tambien recibe comentado_multi en False que         si es multilinea lo devuelvo en True/ devuelve comentarios/        lineay forma de comentar en multilinea si es "" o '',pregunto si hay comentario con #, pregunto si empieza un comentario multilinea con triple comillas dobles,Cambio el valor de comentado multi, pregunto si empieza un comentario multilinea con triple comillas simple,Cambio el valor de comentado multi
identificar_funciones,Autor: Francisco Pereira,Ayuda: Pre --> Ingresa una linea de texto           Post --> Devuelve True si en esa linea se define una funcion           False en caso contrario
ingresar_opcion,,,encontrado,nombre_funcion = validar_nombre_funcion(nombre,funciones),opcion = nombre[nombre.find(nombre_funcion)+len(nombre_funcion):]
lector_rutas,Autor: Francisco Pereira,Ayuda: Pre --> Ingresa el archivo que contiene las rutas y una opcional                    ruta_py que si es True genera tambien el nombre del modulo            Post --> Devuelve un archivo abierto y un nombre de modulo             el nombre de modulo esta vacio si ruta_py se pasa como False
leer_archivos,,
